Nationality;Discipline;Last Name;First Name;Age
ITA;ROW;ABBAGNALE;VINCENZO;32
ITA;SAL;MAGGETTI;MARTA;29
ITA;SHO;BONAZZI;EDOARDO;23
ITA;SWM;DE TULLIO;LUCA;22
ITA;SWM;BIAGIOTTI;MATILDE;20
ITA;TTE;PICCOLIN;GIORGIA;29
ITA;VVO;ROMANO;YURI;28
ITA;WPO;DEL LUNGO;MARCO;35
JAM;ATH;GORDON;JEHLANI;22
JAM;ATH;POWELL;JEVAUGHN;25
JAM;ATH;DISTIN;LAMARA;25
JOR;BOX;EASHASH;ZEYAD;27
JPN;ARC;FURUKAWA;TAKAHARU;41
JPN;ARC;NAKANISHI;JUNYA;26
JPN;ARC;NAKANISHI;JUNYA;26
JPN;ATH;TAKAHASHI;KAZUKI;29
JPN;ATH;TAKAYAMA;SHUNYA;31
JPN;ATH;GOSHIMA;RINO;28
JPN;CSL;TANAKA;YUUKI;24
JPN;EQU;TANAKA;TOSHIYUKI;40
JPN;FBL;MIYAZAWA;HINATA;26
JPN;GAR;HASHIMOTO;DAIKI;24
JPN;GLF;NAKAJIMA;KEITA;25
JPN;GTR;MORI;HIKARU;26
JPN;HOC;NAKAMURA;EIKA;29
JPN;JUD;FUNAKUBO;HARUKA;27
JPN;RU7;SAEGUSA;CHIAKI;28
KAZ;BOX;KHALZOVA;VALENTINA;29
KAZ;CTR;CHUGAY;ANDREY;25
KAZ;JUD;SMETOV;YELDOS;33
KAZ;TRI;SHABALINA;EKATERINA;27
KEN;ATH;CHERUIYOT;REYNOLD;21
KEN;ATH;KROP;JACOB;24
KEN;ATH;KIPKEMBOI;MARGARET CHELIMO;32
KEN;VVO;BARASA;BELINDA NANJALA;24
MEX;MTB;GUTIERREZ PRIETO;ADAIR ZABDIEL;24
MEX;SWA;SOBRINO MIZRAHI;JESSICA;31
MNE;WPO;MATKOVIC;DUSAN;26
MTN;SWM;DOUA;CAMIL;23
NED;ARC;SCHLOESSER;GABY;31
NED;ATH;MO-AJOK;XAVI;23
NED;ATH;SMIDT;NICK;28
NED;ATH;LUIJTEN;ANNE;31
NED;EQU;BOONZAAIJER;JANNEKE;29
NED;GLF;VAN DAM;ANNE;30
NED;JUD;KORREL;MICHAEL;31
NED;JUD;VAN DIJKE;SANNE;30
NED;ROW;FETTER;DIEUWKE;34
NED;ROW;FLORIJN;KAROLIEN;27
NED;SKB;OLDENBEUVING;KEET;21
NED;SWM;KAMMINGA;ARNO;30
